Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,Consulting Operations- Big 4,Associate Director,,"100,000.00","5,000.00",,Michigan,Grand Rapids,11-20 years,8-10 years,College degree,Woman,White
35-44,Government and Public Administration,Geologist,,"59,000.00",,,Maryland,Baltimore,11-20 years,11-20 years,College degree,Woman,Black or African American
35-44,Business or Consulting,Senior Researcher,,"140,000.00","15,000.00",,Washington,Seattle,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Senior Software Engineer,,"162,000.00",0.00,,Florida,Sarasota,21-30 years,8-10 years,Master's degree,Man,White
25-34,Computing or Tech,Senior Data Scientist,,"134,000.00","20,000.00",,Illinois,Chicago,5-7 years,2-4 years,College degree,Woman,White
35-44,Recruitment or HR,HR Manager,,"133,000.00",0.00,,Washington,Bellevue,11-20 years,11-20 years,Master's degree,Woman,Asian or Asian American
25-34,Engineering or Manufacturing,Distribution Center Engineer,,"92,700.00","7,000.00",,Georgia,Atlanta,11-20 years,8-10 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Project manager,,"100,800.00","5,000.00",,North Carolina,Raleigh,1 year or less,1 year or less,PhD,Woman,Asian or Asian American
35-44,Engineering or Manufacturing,QA Manager,Food Manufacturing,"80,000.00",,,Hawaii,Hilo,11-20 years,8-10 years,College degree,Woman,White
35-44,Government and Public Administration,Environmental Specialist,,"69,000.00",0.00,,Iowa,Des Moines,11-20 years,8-10 years,Master's degree,Woman,White
55-64,Utilities & Telecommunications,Data / Document Specialist,,"67,500.00",0.00,Contractor,Massachusetts,Waltham,21-30 years,8-10 years,High School,Woman,White
55-64,Business or Consulting,Senior Consultant,Technical project / program management staff augmentation,"145,000.00",0.00,,Washington,Seattle,31-40 years,31-40 years,College degree,Woman,White
25-34,Sports,Director of Football,I run sporting decisions for a group of european football teams,"300,000.00","100,000.00",,New York,New York,8-10 years,8-10 years,College degree,Man,White
25-34,Law,Senior Associate,(BigLaw),"325,000.00","124,000.00",,District of Columbia,Washington,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Transport or Logistics,Principal Software Engineer,,"150,000.00","16,000.00",,Washington,Seattle,11-20 years,11-20 years,College degree,Man,White
25-34,Public Library,Teen Librarian,,"44,500.00",0.00,,Florida,Bradenton,5-7 years,2-4 years,,Woman,White
18-24,"Accounting, Banking & Finance",Member Service Associate,Bank teller at a credit union,"24,960.00",0.00,,Kentucky,Lexington,1 year or less,1 year or less,Some college,Man,White
35-44,Health care,Support Specialist,"Invoice/ contract entitlement auditing, revenue reporting and forecasting, additional admin support","58,000.00",900.00,,Washington,Everett,11-20 years,5-7 years,Some college,Woman,White
65 or over,Government and Public Administration,Engineering Manager,,"109,642.00",0.00,,North Carolina,Durham,41 years or more,31-40 years,Master's degree,Woman,White
55-64,Government and Public Administration,Records Management Officer,,"105,000.00",0.00,,Texas,Austin,41 years or more,11-20 years,College degree,Man,White
45-54,Health care,Data Analyst,,"92,000.00",0.00,,Michigan,Southfield,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Media & Digital,"Manager, Editorial Operations",support staff for the Editorial Team,"70,584.00","2,000.00",,Pennsylvania,Philadelphia,11-20 years,11-20 years,College degree,Woman,White
25-34,Supply Chain,Senior Manager of Demand Planning,,"98,736.00","7,898.00",,New York,Brooklyn,11-20 years,8-10 years,College degree,Man,White
25-34,Engineering or Manufacturing,Transportation Engineer,,"79,500.00",0.00,,Maryland,Hanover,5-7 years,2-4 years,Master's degree,Woman,White
45-54,Law,Partner,,"312,500.00","100,000.00",,Georgia,Atlanta,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Computing or Tech,senior software engineer,,"150,000.00",,,Wisconsin,Madison,11-20 years,11-20 years,College degree,Woman,White
35-44,Government and Public Administration,International relations specialist,,"90,106.00",200.00,,District of Columbia,Washington,8-10 years,5-7 years,Master's degree,Woman,White
45-54,Education (Higher Education),Fiscal & HR Officer,,"71,000.00",0.00,,Nevada,Reno,11-20 years,5-7 years,College degree,Woman,White
45-54,Nonprofits,Digital Strategy Consultant,Focused on fundraising,"146,000.00",,,North Carolina,Raleigh,21-30 years,8-10 years,PhD,Woman,White
25-34,Engineering or Manufacturing,Production Manager,,"85,000.00","10,000.00",,Nebraska,Omaha,11-20 years,11-20 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Senior Associate,Audit and Attestation for an accounting firm,"80,000.00","1,500.00",,California,Sacramento,8-10 years,2-4 years,Master's degree,Woman,White
25-34,Law,Paralegal,,"42,800.00","1,000.00",,Colorado,Centennial,2-4 years,2-4 years,College degree,Woman,White
45-54,Computing or Tech,Help Desk Analyst Level III,Escalation desk,"52,000.00","12,000.00",,Pennsylvania,Pittsburgh,21-30 years,21-30 years,Some college,Man,Middle Eastern or Northern African
35-44,Health care,Psychologist,"I work in academic medicine; this means I am primarily a clinician in a hospital, but I am also faculty (assistant professor) at local medical school","90,000.00","10,000.00",Bonus varies by year; last year was decided pre-pandemic and was very good,Indiana,Indianapolis,5-7 years,5-7 years,PhD,Woman,White
25-34,Health care,Front office coordinator,At dermatology practice,"43,680.00","1,500.00",,Georgia,Athens,2-4 years,2-4 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Product Architect,,"116,000.00","10,000.00",,Rhode Island,Narragansett,8-10 years,5-7 years,Master's degree,Man,White
25-34,Veterinary,Medical Receptionist,,"25,000.00",300.00,,New York,Nyack,11-20 years,11-20 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Graphic Designer,,"51,000.00","1,000.00",,Texas,Carrollton,8-10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Government and Public Administration,Program Analyst,,"73,000.00",,,District of Columbia,Washington,5-7 years,5-7 years,College degree,Woman,White
35-44,Food processing,Quality Assurance Manager,,"62,000.00","12,500.00",,Michigan,Traverse,11-20 years,5-7 years,College degree,Woman,White
35-44,Government and Public Administration,HR SPECIALIST,,"45,260.00",,,Montana,Missoula,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Health care,Program Manager,,"115,000.00",0.00,,Illinois,Chicago,8-10 years,8-10 years,Master's degree,Woman,White
45-54,Nonprofits,Senior Director,,"110,000.00",,,Michigan,Bethesda,21-30 years,21-30 years,College degree,Woman,White
25-34,Hospitality & Events,Restaurant Assistant General Manager,,"56,000.00","9,000.00",,Arizona,Gilbert,5-7 years,5-7 years,Some college,Man,White
55-64,Bio tech,Project manager senior,Construction management for pharmaceutical industry,"107,250.00","17,000.00",,Massachusetts,Boston,41 years or more,8-10 years,College degree,Woman,White
35-44,Government and Public Administration,Deputy City Clerk / Treasurer,,"33,508.00",0.00,,Montana,Troy,21-30 years,2-4 years,High School,Woman,White
25-34,Nonprofits,Data Manager,,"87,500.00","3,000.00",,District of Columbia,Washington,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Law,Associate Attorney,,"112,000.00",0.00,,Massachusetts,Springfield,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,Product Manager,,"156,000.00","15,600.00",,California,San Francisco,8-10 years,2-4 years,College degree,Woman,White
18-24,Business or Consulting,Tech consultant,,"86,000.00","10,000.00",,California,San Jose,2-4 years,2-4 years,College degree,Man,White
25-34,Computing or Tech,Technical Proposal Writer,Proposal Writing,"86,000.00","9,000.00",,Iowa,Dubuque,5-7 years,2-4 years,Some college,Man,White
35-44,"Accounting, Banking & Finance",Senior Relationship Manager,,"124,000.00","37,200.00",,Colorado,Denver,11-20 years,11-20 years,Master's degree,Man,White
25-34,Agriculture or Forestry,Chief Data Scientist,,"31,000.00",0.00,,New Mexico,Santa Fe,8-10 years,8-10 years,PhD,Woman,White
35-44,Education (Higher Education),Registrar,Senior manager/director level,"87,000.00","12,000.00",,Idaho,Meridian,11-20 years,11-20 years,Some college,Woman,White
25-34,Education (Primary/Secondary),Math Teacher,,"40,000.00",500.00,,Tennessee,Jefferson,2-4 years,2-4 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Residential Real Estate Appraiser,,"125,000.00","1,200.00",,Oregon,Newberg,21-30 years,11-20 years,College degree,Woman,White
25-34,Government and Public Administration,Youth Services Librarian,,"39,000.00",0.00,,Texas,Corpus Christi,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Senior Project Manager/Evaluation Specialist,Project manager of a specific type of applied research/evaluation project.,"92,000.00",0.00,,New York,Buffalo,8-10 years,8-10 years,PhD,Woman,White
25-34,Janitorial,Operations Manager,,"29,120.00",,,Texas,Houston,5-7 years,2-4 years,High School,Non-binary,"Hispanic, Latino, or Spanish origin, White"
35-44,Transport or Logistics,Department Supervisor,,"64,000.00",0.00,,Tennessee,Greater Nashville Area,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Recruitment or HR,Human Resources Business Partner,,"90,000.00","2,000.00",,District of Columbia,Washington,8-10 years,5-7 years,Master's degree,Woman,White
55-64,"Leisure, Sport & Tourism",Yoga Instructor,,"42,000.00",0.00,,Colorado,Denver,21-30 years,2-4 years,PhD,Woman,White
25-34,Engineering or Manufacturing,Program Manager III,project manger for multiple new product development projects in biotechnology industry,"80,000.00","5,600.00",7% target bonus,Illinois,Rockford,8-10 years,1 year or less,Master's degree,Woman,White
25-34,Health care,Technical Operations Manager,,"33,280.00",,,Colorado,Boulder,5-7 years,2-4 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing Manager,,"86,000.00","8,000.00",,District of Columbia,Washington,8-10 years,8-10 years,College degree,Woman,Black or African American
18-24,Fast food,Barista,,"31,200.00",,,New York,Albany,1 year or less,1 year or less,High School,Other or prefer not to answer,"Hispanic, Latino, or Spanish origin"
25-34,Art & Design,Controller,,"125,000.00","7,000.00",,California,San Francisco,11-20 years,11-20 years,College degree,Woman,White
35-44,Utilities & Telecommunications,Data Lead,,"110,000.00","5,000.00",,Washington,Bellevue,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),High School ESL teacher,,"44,000.00","1,000.00",Base salary is 38 with add ons for having a Masters and teaching specific subjects. Bonus is dependent on performance,Arizona,Tucson,2-4 years,1 year or less,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Senior Project Accountant,I think this is closer to a non-senior project accountant role,"72,150.00","2,000.00",,California,San Francisco,11-20 years,5-7 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
55-64,Manufacturing,Payroll Manager,,"117,000.00",,,California,San Diego,21-30 years,21-30 years,College degree,Woman,White
35-44,Nonprofits,Museum educator,I manage the educational efforts at a small house museum.,"32,000.00",100.00,,New York,New York,11-20 years,5-7 years,Master's degree,Woman,White
18-24,Nonprofits,Senior Customer Service Representative,,"39,520.00",,,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
55-64,Computing or Tech,CEO,,"300,000.00",0.00,,New Mexico,Santa Fe,31-40 years,31-40 years,Master's degree,Woman,White
25-34,Computing or Tech,Taxonomy Manager,,"118,000.00","32,000.00",,Washington,Seattle,11-20 years,5-7 years,Master's degree,Woman,White
55-64,Computing or Tech,Customer Success Manger,,"54,000.00",,"I live in Ohio, but the company I work for is located in New Jersey",Ohio,Akron,31-40 years,21-30 years,College degree,Woman,White
25-34,Nonprofits,Communications Coordinator,,"50,000.00",0.00,,Illinois,Chicago,5-7 years,2-4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Computing or Tech,Communications Strategist,,"138,000.00","162,000.00",Non-cash salary is RSus (shares/equity),New York,New York,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Education (Higher Education),Administrative Support Associate,administrative assistant,"33,000.00",,,North Carolina,Cullowhee,11-20 years,2-4 years,College degree,Woman,White
25-34,Technology,senior security analyst,information security,"125,000.00",,annual bonus,Massachusetts,Boston,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Law,Associate Attorney,,"120,000.00",,,New York,New York,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
45-54,Nonprofits,Vice President,Focus on strategy and special projects,"150,000.00",0.00,,North Carolina,Charlotte,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Media & Digital,Video Producer,,"79,000.00","20,000.00",,Washington,Seattle,11-20 years,11-20 years,College degree,Man,"Native American or Alaska Native, White"
25-34,Government and Public Administration,(State Agency) Legislative Director,,"82,600.00",0.00,,Illinois,Springfield,8-10 years,5-7 years,College degree,Woman,White
18-24,Social Work,Residential Therapist,,"46,500.00","1,500.00",,Massachusetts,Methuen,2-4 years,2-4 years,Master's degree,Woman,White
45-54,Library,Reference librarian,,"48,000.00",,,Maine,Portland,31-40 years,2-4 years,Master's degree,Woman,White
25-34,Law,public defender,,"83,000.00",0.00,,New York,New York,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Education (Higher Education),"Coordinator, Academic Advising",,"38,000.00",0.00,,Pennsylvania,Pittsburgh,31-40 years,31-40 years,Master's degree,Woman,White
25-34,Recruitment or HR,Recruiter,,"48,000.00","20,000.00",,Massachusetts,Boston,2-4 years,2-4 years,College degree,Woman,White
35-44,Government and Public Administration,GIS Analyst,,"57,477.00",0.00,,Colorado,Denver,8-10 years,8-10 years,College degree,Woman,White
55-64,Health care,Proposal Manager,Supporting sales efforts by managing the process of responding to requests for proposal (RFPs).,"79,880.00","2,000.00",,Pennsylvania,Philadelphia,41 years or more,21-30 years,Master's degree,Woman,White
35-44,Sales,Managing content coordinator,,"50,000.00","10,000.00",,Maine,Portland,11-20 years,11-20 years,College degree,Woman,White
35-44,Nonprofits,case manager,,"44,200.00",,,Texas,Austin,5-7 years,5-7 years,Master's degree,Woman,White
18-24,Politics,Fundraising Associate,I work at a fundraising consulting firm.,"50,000.00",0.00,,District of Columbia,Washington,2-4 years,2-4 years,College degree,Woman,White
