Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
35-44,Computing or Tech,Technical Program Manager,,"149,630.00","12,000.00",,Washington,Seattle,11-20 years,8-10 years,College degree,Woman,White
25-34,Veterinary medicine,Veterinary receptionist,,"34,000.00",0.00,,California,Aliso Viejo,8-10 years,2-4 years,College degree,Non-binary,White
45-54,Computing or Tech,Sr manager - process,,"78,000.00",,,Wisconsin,Racine,21-30 years,21-30 years,College degree,Woman,White
25-34,Education (Higher Education),Chemistry PhD student,,"35,000.00",0.00,,Massachusetts,Cambridge,5-7 years,5-7 years,Master's degree,Woman,White
35-44,"Marketing, Advertising & PR",Asst. social media manager,,"71,000.00",,,Georgia,Atlanta,8-10 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Health care,Front desk / administrative,,"31,000.00","1,000.00",,California,Burbank,8-10 years,8-10 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
18-24,Computing or Tech,DevOps Engineer,,"90,000.00","10,000.00",,New Jersey,Jersey,2-4 years,2-4 years,Master's degree,Man,Asian or Asian American
35-44,Computing or Tech,Core Services Engineer,,"103,000.00","8,000.00",,Texas,Dallas,11-20 years,11-20 years,College degree,Man,White
35-44,Engineering or Manufacturing,Vice President,,"115,000.00","50,000.00",I am a partner in an engineering firm,Florida,Orlando,11-20 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Health care,Behavioral Health Case Manager,Insurance company,"89,000.00","6,000.00",,Texas,Houston,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Lead ad writer,,"39,000.00",0.00,,California,Temecula,11-20 years,11-20 years,Some college,Man,White
35-44,Education (Higher Education),"Chief of Operations, University Development","I lead HR, Budget and Communications for the university fundraising team","134,000.00",0.00,,California,San Diego,21-30 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,"Leisure, Sport & Tourism",Food Service Director,"Food service at summer camp; work spring, summer, fall","29,200.00",0.00,,North Carolina,Hendersonville,21-30 years,5-7 years,College degree,Woman,White
35-44,Government and Public Administration,Director,,"75,000.00",,,Arizona,Phx,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
25-34,Law,Assistant General Counsel,,"126,000.00",0.00,7.7 percent of my pay goes to a pension fund (I work for the state),Texas,Austin,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
35-44,Government and Public Administration,"Research Scientist, level III",I need a PhD and 3 years of professional experience for my role.,"80,000.00",0.00,,California,Sacramento,11-20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Sales Operations,Manager Sales Strategy and Operations,Execute GTM levers for sales teams at a Fortune 200 white goods company,"96,000.00","36,000.00",Bonus varies based on personal and company performance,Michigan,Benton Harbor,11-20 years,5-7 years,College degree,Woman,White
25-34,Education (Higher Education),Instructor,,"50,000.00","2,000.00",,North Carolina,Shelby,8-10 years,8-10 years,PhD,Woman,White
45-54,Health care,Inventory Control Manager,Medical Supplies Distribution,"67,500.00","1,000.00",Current salary approx 1/2 of highest salary in my previous career; changed due to relocation for family reasons,Florida,Fort Myers,21-30 years,1 year or less,College degree,Woman,White
35-44,Nonprofits,Executive Director,,"215,000.00","10,000.00",,New York,New York,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Sales,CFO,,"16,000.00",,,California,Los Angeles,8-10 years,5-7 years,Master's degree,Man,"Middle Eastern or Northern African, White"
25-34,Transport or Logistics,Air traffic controller,,"93,500.00","15,000.00",,Kansas,Wichita,2-4 years,2-4 years,College degree,Woman,White
25-34,Nonprofits,Senior Regional Director,"My role is the highest of my region, but I work closely with the central office which helps with fundraising, and create initiatives for regions to implement.","68,500.00",500.00,,California,San Francisco,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, Another option not listed here or prefer not to answer"
35-44,Computing or Tech,Administrative Assistant,,"42,000.00",,,Wisconsin,Madison,11-20 years,11-20 years,College degree,Woman,White
35-44,Health care,Social Media Manager,,"99,000.00","10,000.00",,Arizona,Phoenix,11-20 years,8-10 years,College degree,Woman,White
45-54,Engineering or Manufacturing,Technician,Industrial,"72,800.00","4,000.00",,Minnesota,Minneapolis,21-30 years,21-30 years,College degree,Man,White
25-34,Computing or Tech,Customer Service Representative,,"42,000.00",,,North Carolina,Raleigh,2-4 years,2-4 years,College degree,Woman,White
35-44,Recruitment or HR,HR Generalist,,"62,500.00",0.00,,Florida,Tallahassee,11-20 years,11-20 years,College degree,Woman,White
25-34,Recruitment or HR,Director of Talent Development,I manage recruiting and assist with general communication plus employee satisfaction and development programs.,"70,000.00",,,Minnesota,St Paul,5-7 years,5-7 years,College degree,Woman,White
55-64,Law,Legal Assistant,,"85,000.00","8,000.00",,California,San Jose,41 years or more,31-40 years,Master's degree,Woman,White
25-34,Computing or Tech,Senior Technical Product Owner,,"150,000.00",,Full suite of benefits included as well as RSus,Colorado,Denver,8-10 years,8-10 years,College degree,Woman,"Middle Eastern or Northern African, White"
35-44,Insurance,Actuary,,"91,533.00",,,Texas,Houston,8-10 years,8-10 years,College degree,Man,White
35-44,Law,Research Analyst,aka law librarian,"80,000.00","3,000.00",,Oregon,Portland,21-30 years,8-10 years,Master's degree,Woman,White
18-24,"Marketing, Advertising & PR",Internet Marketing Specialist,Account manager,"42,000.00",700.00,,Pennsylvania,Lancaster,2-4 years,2-4 years,College degree,Woman,White
25-34,Insurance,Software QA Analyst,,"65,000.00",100.00,,Illinois,Chicago,8-10 years,8-10 years,Master's degree,Man,White
35-44,Government and Public Administration,Science Policy Fellow,applying scientific background to policy issues in us federal government,"89,312.00",0.00,,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,White
35-44,Government and Public Administration,Executive Secretary,,"60,777.00",,,Nebraska,Omaha,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Demand Planning Team Leader,,"110,000.00","11,000.00",,Georgia,Atlanta,21-30 years,5-7 years,Master's degree,Woman,White
35-44,Education (Higher Education),Extension outreach professional II,"(My university just went through a career architecture project & changed all titles. used to be Program Coordinator, senior)","52,000.00",0.00,,Arizona,Tucson,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Recruitment or HR,Temp,Mostly administrative work,"38,000.00",0.00,,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White
25-34,Education (Primary/Secondary),Physical Education Teacher,,"39,820.00","5,200.00",,West Virginia,Buckhannon,8-10 years,2-4 years,Master's degree,Man,White
35-44,Health care,Medical Staff Representative,,"48,880.00","48,880.00",,North Carolina,Raleigh,8-10 years,1 year or less,College degree,Woman,White
